date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
3/3/2010,Slovenia,Qatar,4,1,Friendly,Maribor,Slovenia,FALSE
3/3/2010,South Africa,Namibia,1,1,Friendly,Durban,South Africa,FALSE
3/3/2010,Switzerland,Uruguay,1,3,Friendly,St. Gallen,Switzerland,FALSE
3/3/2010,Syria,Lebanon,4,0,AFC Asian Cup qualification,Damascus,Syria,FALSE
3/3/2010,Tanzania,Uganda,2,3,Friendly,Mwanza,Tanzania,FALSE
3/3/2010,Turkey,Honduras,2,0,Friendly,Istanbul,Turkey,FALSE
3/3/2010,Uzbekistan,United Arab Emirates,0,1,AFC Asian Cup qualification,Tashkent,Uzbekistan,FALSE
3/3/2010,Venezuela,Panama,1,2,Friendly,Barquisimeto,Venezuela,FALSE
3/3/2010,Wales,Sweden,0,1,Friendly,Swansea,Wales,FALSE
3/3/2010,Zimbabwe,Malawi,2,1,Friendly,Harare,Zimbabwe,FALSE
3/6/2010,Venezuela,North Korea,2,1,Friendly,Puerto la Cruz,Venezuela,FALSE
3/7/2010,Niger,Benin,2,0,Friendly,Niamey,Niger,FALSE
3/17/2010,Mexico,North Korea,2,1,Friendly,TorreÃ³n,Mexico,FALSE
3/21/2010,Iceland,Faroe Islands,2,0,Friendly,KÃ³pavogur,Iceland,FALSE
3/21/2010,Namibia,Botswana,0,0,Friendly,Windhoek,Namibia,FALSE
3/24/2010,Martinique,Haiti,0,0,Friendly,Fort-de-France,Martinique,FALSE
3/24/2010,Mexico,Iceland,0,0,Friendly,Charlotte,United States,TRUE
3/31/2010,Chile,Venezuela,0,0,Friendly,Temuco,Chile,FALSE
3/31/2010,Paraguay,South Africa,1,1,Friendly,AsunciÃ³n,Paraguay,FALSE
4/3/2010,Saint Kitts and Nevis,Guadeloupe,3,0,Friendly,Basseterre,Saint Kitts and Nevis,FALSE
4/7/2010,Japan,Serbia,0,3,Friendly,Osaka,Japan,FALSE
4/21/2010,Honduras,Venezuela,0,1,Friendly,San Pedro Sula,Honduras,FALSE
4/22/2010,South Africa,North Korea,0,0,Friendly,Taunusstein,Germany,TRUE
4/28/2010,South Africa,Jamaica,2,0,Friendly,Offenbach am Main,Germany,TRUE
